question,answer,anchor_words
What are the three European wizarding schools that participate in the Triwizard Tournament?,"Hogwarts, Beauxbatons, and Durmstrang.",['Hogwarts']
When was Hogwarts founded?,10th century,['Hogwarts']
What is a Wronski Feint?,Pretending to dive for the Snitch,[]
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,[]
Harry first took the Knight Bus in The Prisoner of Azkaban. How much does a ticket cost if it includes hot chocolate?,14 sickles.,['Knight Bus']
What charm creates water?,Aguamenti,['Aguamenti']
Which of these is an ingredient in Befuddlement Draughts?,Sneezewort,[]
What magical creature runs guards wand wood trees?,Bowtruckles,[]
Name all seven Weasley children.,"Bill, Charlie, Percy, Fred, George, Ron, and Ginny.",[]
Why did student initially think Harry was the Heir of Slytherin?,He can speak Parseltongue,"['Slytherin', 'Heir of Slytherin']"
Vipera Evanesca is used to vaporize what kind of creature?,Snake,"['Snake', 'Vipera Evanesca']"
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
How old was Luna when she lost her mom?,Nine,[]
Who or what determines the House for each first year student?,The Sorting Hat,"['Sorting Hat', 'The Sorting Hat']"
What is the root language of any spells?,Latin,[]
What did Regulus Black become after he died?,Inferi,[]
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the special lavatory entrance?,Boris the Bewildered.,"['Cedric Diggory', 'Fir']"
"Who is known as the ""Chosen One""?",Harry Potter,['Harry Potter']
Who destroyed the Horcrux in Helga Hufflepuff's Cup?,Hermione Granger,"['Hermione Granger', 'Hufflepuff']"
What is Filch the Hogwarts caretaker's greatest secret?,He's a Squib.,['Hogwarts']
What is the name of America's magical government?,MACUSA,[]
What year was the first match?,1050 AD,[]
What potion allows a witch or wizard to disguise themselves as someone else for a limited amount of time?,Polyjuice Potion.,['Polyjuice Potion']
What kind of core did Harry's first want possess?,Phoenix Feather,"['Phoenix', 'Phoenix Feather']"
What did a Boggart reveal Seamus Finnigan's worst fear to be?,Banshee,['Seamus Finnigan']
What is Ron's middle name?,Bilius,[]
Which dragon did Cedric Diggory face in the first task of the Triwizard Tournament?,Swedish Short-Snout,['Cedric Diggory']
Where are flying lessons held?,Training Grounds,[]
"""Lemon Drop"" is the password to whose office?",Dumbledore,[]
A statue of what creature marks the entrance to the Headmaster's Office?,Gargoyle,"[""Headmaster's Office""]"
Who has been to every Quidditch World Cup since they were born?,Merula,"['Quidditch World Cup', 'Quidditch']"
Who founded Hogsmeade Village?,Hengist of Woodcroft,['Hogsmeade']
Who was the first Quidditch referee to die in a Quidditch match?,Cyprian Youdle,['Quidditch']
Madam Hooch has distinct yellow what?,Eyes,[]
What eavesdropping tool did Fred and George invent in Harry Potter and the Order of the Phoenix?,Extendable Ears,"['Harry Potter', 'Phoenix', 'Harry Potter and the Order of the Phoenix']"
What does 'Meteolojinx Recanto' do?,Dispel weather charms,[]
At what age can you earn your Apparition license?,17,[]
What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,[]
What is the name of the house-elf that belongs to the Malfoy family?,Dobby,['Dobby']
What does 'Colloportus' do?,Lock and seal doors,['Colloportus']
How is Quodpot different from Quidditch?,The ball explodes,['Quidditch']
What is Professor Snape’s Patronus?,A doe (the same as Lily Potter’s—sob),['Lily Potter']
Where is Hogwarts located?,Scotland,['Hogwarts']
Catching what object ends a Quidditch match?,Golden Snitch,"['Cat', 'Quidditch']"
What is the Chudley Cannons' team colour?,Orange,[]
Who previously held Snape's post?,Horace Slughorn,"['Horace Slughorn', 'Horace Slughorn']"
What sensation accompanies the Sea Urchin Jinx?,Discomfort,[]
How often does a Streeler's shell change colour?,Every Hour,[]
Who becomes the Charms professor after Professor Flitwick?,Filius Flitwick remains the Charms professor throughout the series.,['Filius Flitwick']
Who is the Hogwarts student who cursed herself to get rid of her acne?,Eloise Midgen,['Hogwarts']
Who famously crafted wand cores from Jackalope antlers?,Isolt Sayre.,[]
Which centaur rescues Harry in the Forbidden Forest in Book 1?,Firenze.,"['Firenze', 'Fir', 'Forbidden Forest']"
What is the core of Draco Malfoy's wand?,Unicorn hair,['Draco Malfoy']
"In the book, which old friend do Harry, Ron and Hermione run into at St. Mungo’s Hospital for Magical Maladies and Injuries?",Gilderoy Lockhart,"['Gilderoy Lockhart', 'Ron and Hermione', 'Gilderoy Lockhart']"
Which creature's hair is often woven into Invisibility Cloaks?,Demiguise,[]
What painting guards the entrance to the Gryffindor common room?,The Fat Lady.,"['The Fat Lady', 'Gryffindor']"
How did I become a metamorphagus?,You were born one.,[]
What happened during the Quidditch World Cup of 1473?,Players committed all the fouls,"['Quidditch World Cup', 'Quidditch']"
Madam Hooch has distinct yellow what?,Eyes,[]
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
What's Helga Hufflepuff's signature item?,Cup,['Hufflepuff']
What magical creature runs guards wand wood trees?,Bowtruckles,[]
From which word did the Mirror of Erised get its name?,Desire,[]
What is the correct pronunciation of the Levitation Charm?,Win-GAR-dium Levi-OH-sa.,['Levitation Charm']
What is the Chudley Cannons' team colour?,Orange,[]
Where is the nearest dragon reserve?,Romania,[]
Where did Dumbledore meet Tom Riddle for the first time?,Wool's Ophanage,"['Tom Riddle', 'Tom', 'Tom Riddle']"
What spell duplicates an item?,Geminio,[]
Which of these is not a type of broom?,Phoenix,['Phoenix']
Where can dark cloud constellations be most easily seen?,The Southern Hemisphere.,[]
What fake illness does Ron Weasley say he has to cover up his absence from Hogwarts?,Spattergroit,"['Ron Weasley', 'Hogwarts']"
What is the name of the dragon that Harry Potter faces in the first task of the Triwizard Tournament?,Hungarian Horntail,['Harry Potter']
Professor Snape is the head of which Hogwarts house?,Slytherin,"['Slytherin', 'Hogwarts']"
Professor Sprout was the head of what department at Hogwarts?,Herbology,['Hogwarts']
What magical creature is known for guarding Gringott's Bank?,Ukrainian Ironbelly (a dragon),[]
What magical sport is popular in North America?,Quodpot,[]
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold,['Ginny Weasley']
"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,['Hogwarts']
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,[]
What is the incantation for the Memory Charm?,Obliviate,"['Obliviate', 'Memory Charm']"
In which scenario wiould you use a Deflating Drought?,Nulling Effects from a Swelling Solution,[]
Who does Harry live with before going to Hogwarts?,"His aunt and uncle, Petunia and Vernon Dursley, and cousin Dudley.","['Vernon Dursley', 'Hogwarts']"
"In the Order of Phoenix, who gives the flying lessons to Harry's group?",Rolanda Hooch,"['Rolanda Hooch', 'Phoenix']"
What is the name of Ron's brother who works at Gringotts?,Bill Weasley,"['Bill Weasley', 'Gringotts']"
Which of these charms is the dancing-feet jinx?,Tarantallegra,[]
Phyllomancy is the practice of seeing the future with what?,Leaves,[]
Who created the Sorcerer's Stone?,Nicolas Flamel,[]
What magical bird did Uric have fifty of in his house?,Augureys,[]
Which Quidditch team is last in the league?,Chudley Cannons,['Quidditch']
What does it mean when a magical creature is classified as XXX by the Ministry of Magic?,Competent Wizards Should Cope,"['Wizard', 'Ministry of Magic']"
What is the name of the black family's ancestral home in the Harry Potter series?,Grimmauld Place,['Harry Potter']
Which of the following is caused by space weather?,Auroras.,[]
What does the Ear-Shrivelling Curse cause?,Ears to wither,[]
How many Horcruxes did Voldemort create intentionally?,Six,"['Voldemort', 'Horcruxes']"
My voice is best compared to what?,A Vacuum Cleaner,[]
When did Harry learn Accio?,Year 4,['Accio']
What type of magical creature is Dobby?,House-elf,['Dobby']
Which is not the form of Transfiguration?,Enchantment,[]
"During the Triwizard Tournament, who escorted Hermione to the Yule Ball?",Viktor Krum,['Viktor Krum']
Which of these is not a type of broom?,Occamy,[]
What is the emblem of St. Mungo's Hospital for Magical Maladies and Injuries?,A wand cross with a bone,[]
Which part of the asphodel plant is used in Draught of Living Death?,Root,[]
What’s the best solution for a broken nose?,Episkey,"['Episkey', 'Episkey']"
What does Mimbulus Mimbletonia use as a defence mechanism?,Stinksap,[]
How many Rogue Planets exist in the Milky Way?,Billions.,[]
A Nimbus is a type of what?,Broom,[]
What Quidditch players fend off the Bludgers?,The Beaters,['Quidditch']
Madam Hooch has distinct yellow what?,Eyes,[]
Did Muggles use ancient runes as well?,They did.,[]
Why did Liechtenstein not attend the first meeting of the International Confederation of Wizards?,Their Stance on Troll Rights,['Wizard']
Which of the following was a reason why the 14th century witch burnings were pointless?,Flame-Freezing Charm,['Freezing Charm']
Where are Kappas most commonly found?,Japan,[]
What is the name of the wizard village near Hogwarts?,Hogsmeade,"['Hogsmeade', 'Hogwarts']"
The Deflating Drought is an antidote to which potion?,Swelling Solution,[]
"What is the primary school attended by Harry Potter's son, Albus Severus Potter?",Hogwarts School of Witchcraft and Wizardry,"['Harry Potter', 'Wizard', 'Witch', 'Hogwarts']"
The Medieval Assembly of European Wizards gives out which award?,Bravery Against Fantastic Beasts Award,['Wizard']
A Firebolt is a type of what?,Broom,['Fir']
Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,"['Rubeus Hagrid', 'Hogwarts']"
What is the Name of America’s Magical Government?,MACUSA,[]
"At the beginning of the story, where does Hedwig find Harry?",She is waiting in his room at the Leaky Cauldron. Clever owl!,[]
How many classes did Hermione Granger take this year?,12!,['Hermione Granger']
What is Voldemort's mother's name?,Merope,['Voldemort']
Why would you need to switch brooms midair?,Broom failure,[]
"What is the name of the werewolf who teaches Defense Against the Dark Arts in ""Harry Potter and the Prisoner of Azkaban""?",Remus Lupin,"['Harry Potter', 'Remus Lupin', 'Harry Potter and the Prisoner of Azkaban']"
What does the term 'Muggle' refer to in Harry Potter?,A non-magical person,['Harry Potter']
What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,[]
"Before Dumbledore, who was Headmaster of Hogwarts?",Armando Dippet,['Hogwarts']
Which of these is not a type of broom?,Phoenix,['Phoenix']
Where does Valerian grow best?,In the sun,[]
What's the tallest tower at Hogwarts?,The Astronomy Tower.,"['Astronomy Tower', 'Hogwarts', 'The Astronomy Tower']"
What is the name of the Wizard village near Hogwarts?,Hogsmeade,"['Wizard', 'Hogsmeade', 'Hogwarts']"
Which mischievous character from the books did not feature in the movies?,Peeves the Poltergeist,[]
Which house does Harry Potter belong to?,Gryffindor,"['Harry Potter', 'Gryffindor']"
What is not an alternate name for Wolfsbane?,Belladonna,['Wolf']
What is the opposite of conjuration?,Vanishment,[]
What is the name of the wizard village near Hogwarts?,Hogsmeade,"['Hogsmeade', 'Hogwarts']"
Where are flying lessons held?,Training Grounds,[]
What magical sport is popular in North America?,Quodpot,[]
"In Book 2, who is the first victim to be petrified by the basilisk?","Filch's cat, Mrs. Norris.",[]
Who was the Minister of Magic during the First World War?,Archie Evermonde,['Fir']
Which Quidditch team is last in the league?,Chudley Cannons,['Quidditch']
Who is the author of 'Fantastic Beasts and Where to Find Them'?,Newt Scamander,[]
Which charm freezes the target in place?,Immobulus,['Immobulus']
Who teaches Defense Against the Dark Arts during Harry's second year at Hogwarts?,Gilderoy Lockhart,"['Gilderoy Lockhart', 'Hogwarts', 'Gilderoy Lockhart']"
What magical sport is popular in North America?,Quodpot,[]
Who discovered the law of elemental transfiguration?,Gamp,[]
Who played Professor Dumbledore in the first movie?,Richard Harris,[]
"On his first ride aboard the Hogwarts Express, whose card did Harry get with his chocolate frog?",Dumbledore,"['Hogwarts Express', 'Hogwarts']"
What is the antidote to Swelling Solution?,Deflating Draught,[]
Which team is in last place?,Chudley Cannons,[]
What are 'wildcats' referring to?,The Gargoyles on strike.,[]
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,[]
What type of ball attempts to hit players?,Bludger,[]
What was the Hippogriff Buckbeak called when he returned to Hogwarts?,Witherwing,"['Hogwarts', 'Buckbeak']"
Who was the Rook in the Chessboard Chamber?,Hermione Granger,['Hermione Granger']
Which creatures feed on the human brain and helped Newt Scamander escape?,Swooping Evil,[]
What house is Justin Finch-Fletchley in?,Hufflepuff,"['Justin Finch-Fletchley', 'Hufflepuff']"
What book is instrumental for this lesson?,Charm Your Own Cheese.,[]
What magical sport is popular in North America?,Quodpot,[]
Name a crushed ingredient that is used in cure for boils.,Snake fang,['Snake']
Where is the Slytherin Common Room?,The Dungeons,"['Slytherin', 'Slytherin Common Room']"
What spell did Snape invent that Harry later uses on Draco Malfoy?,Sectumsempra,"['Draco Malfoy', 'Sectumsempra', 'Sectumsempra', 'Sectumsempra']"
Catching what object ends a Quidditch match?,Golden Snitch,"['Cat', 'Quidditch']"
What does Hermione smell in the amortenia (or love) potion?,"Grass, parchment, spearmint toothpaste and Ron Weasley’s hair",['Ron Weasley']
The crop circles in Muggle legends might have been left by what magical creature?,Mooncalf,[]
Who anonymously sends Harry his father's Invisibility Cloak on Christmas?,Albus Dumbledore,['Albus Dumbledore']
Where does Harry Potter first see Draco Malfoy?,In Madame Malkin’s Robes for All Occasions,"['Harry Potter', 'Draco Malfoy', 'All']"
When did the wildcat gargoyle strike the place?,1911,[]
Who is the potions professor?,Professor Severus Snape,['Severus Snape']
What magical creature is Ron deathly afraid of?,Spiders,[]
What is Rowena Ravenclaw's signature item?,Diadem,['Ravenclaw']
Which Quidditch team is last in the league?,Chudley Cannons,['Quidditch']
Who teaches Care of Magical Creatures?,Silvanus Kettleburn,[]
What's the first step to performing a Bell Tailslide?,Flying straight up.,[]
What does Amortentia smell like?,It depends,[]
Which of the following traits does the Occamy exhibit?,Choranaptyxis,[]
What trait do I* value most in a student?,Intellect,[]
Which famous Auror crashed Bill's party?,Alastor Moody.,['Alastor Moody']
Madam Hooch has distinct yellow what?,Eyes,[]
What charm can repel a Lethifold?,Patronus Charm,['Patronus Charm']
What did Fred and George use to protest against Dolores Umbridge's authority?,Weasley's Wildfire Whiz-bangs,['Dolores Umbridge']
Which of these plants bloom instantly?,Puffapod,[]
What is true about tortoises?,Some live over 200 years.,[]
What does Hermione say Jupiter's largest moon is?,Ganymede,[]
Which of the following is not a Horcrux?,Elder Wand,['Elder']
"In Book 5, Snape is assigned to teach Harry what type of magic?",Occlumency.,['Occlumency']
How is the Grey Lady related to Rowena Ravenclaw?,She's Rowena's daughter.,['Ravenclaw']
What can you counteract by consuming Moly?,Enchantments.,[]
How do you greet a Hippogriff?,With a bow,[]
Which puzzle guarding the Sorcerer’s Stone does Hermione Granger solve?,Professor Snape’s logic puzzle with potion bottles,['Hermione Granger']
What is the title of this book and movie everywhere except in the United States?,Harry Potter and the Philosopher’s Stone,['Harry Potter']
Harry and Ginny have three children. What are their names?,"James, Albus, and Lily.",[]
Who are the members of the 'Golden Trio'?,"Harry Potter, Ron Weasley, Hermione Granger","['Harry Potter', 'Ron Weasley', 'Hermione Granger']"
What item cannot be conjured?,Food,[]
What spell works on the Whomping WIllow to stop it from attacking?,The Freezing Charm,['Freezing Charm']
What was Uric the Oddball best known for wearing on his head?,A jellyfish,[]
Catching what object ends a Quidditch match?,Golden Snitch,"['Cat', 'Quidditch']"
What spell provides protection against Dementors?,Expecto Patronum,['Expecto Patronum']
"Who betrays Lily and James Potter: Moony, Professor Snape, Padfoot, or Wormtail?",Wormtail,['James Potter']
Which incantation conjures flowers?,Orchideous,[]
Where did Harry begin hearing the voice that no one else could hear?,In Professor Lockhart’s office,[]
What is Tulip’s prank of choice?,Dungbomb,[]
Who was Ron's first girlfriend?,Lavender Brown,['Lavender Brown']
The Blast-Ended Skrewt is a hybrid of a Fire Crab and what?,Manticore,"['Man', 'Fir']"
What was the Seeker originally called?,The Hunter,[]
"What does Hogwarts say you should never do, but I'd love to do?",Tickle a Sleeping Dragon,['Hogwarts']
What is the wand motion for Wingardium Leviosa?,Swish and Flick,['Wingardium Leviosa']
How is Quodpot different from Quiddtich?,The ball explodes.,[]
Which team is in last place?,Chudley Cannons,[]
"In Book 4, who does Hermione Granger go with to the Yule Ball?",Viktor Krum.,"['Hermione Granger', 'Viktor Krum']"
What's Tonks dad's name?,Ted,[]
Which Alchemist was active during the Medieval age?,Nicholas Flamel,[]
"In Harry Potter and the Prisoner of Azkaban, how do Hermione, Harry, and Ron find Crookshanks?",He jumps on Ron's head at the Magical Menagerie.,"['Harry Potter', 'Harry Potter and the Prisoner of Azkaban']"
How old was Harry when he got his first letter from Hogwarts?,Eleven,['Hogwarts']
Who was headmaster or headmistress at Hogwarts when Tom Riddle was a student?,Armando Dippet,"['Tom Riddle', 'Tom', 'Hogwarts', 'Tom Riddle']"
"What is Lord Voldemort's full, real name?",Tom Marvolo Riddle.,"['Voldemort', 'Tom']"
Name an object we’ve Transfigured a porcupine into.,Pincushion,[]
Which two students came up with the name “Dumbledore’s Army?,Cho Chang and Ginny Weasley,"['Ginny Weasley', 'Cho Chang']"
Who is the headmaster of Hogwarts during Harry's years at school?,Albus Dumbledore,"['Albus Dumbledore', 'Hogwarts']"
Who does Hermione impersonate using the Polyjuice Potion in the second book of the Harry Potter series?,Millicent Bulstrode,"['Harry Potter', 'Polyjuice Potion']"
Which of these is needed for successful broom casting?,Balance,[]
What is the address of the Headquarters of the Order of the Phoenix?,"12 Grimmauld Place, London","['Phoenix', '12 Grimmauld Place']"
What would Peevsey do at a trial?,Cause a mistrial,[]
What is the name of Hagrid's boarhound dog?,Fang,[]
Which spell is used in Harry Potter that levitates objects?,Wingardium Leviosa,"['Harry Potter', 'Wingardium Leviosa']"
Who previously held Snape's post as Potions Master?,Horace Slughorn,"['Horace Slughorn', 'Horace Slughorn']"
What was Elfric the Eager's uprising?,A revolt.,[]
When was Azkaban Prison established?,1718,[]
What do all the hands on the Weasleys’s magical clock point to when Harry gets to the Burrow?,“Mortal peril”,[]
What curse is Harry Potter the only known survivor of?,Avada Kedavra,"['Harry Potter', 'Avada Kedavra']"
Name one of the potion's ingredients...,Dragon Liver,[]
How many players are on a quidditch team?,7,[]
Where was Beedle the Bard born?,"Yorkshire, England.",[]
What was the name of Neville Longbottom's pet toad?,Trevor,['Neville Longbottom']
A: Which ghost is the most terrifying?,Bloody Baron,['Bloody Baron']
Which is NOT a side effect of a miscast Silencing Charm?,Insatiable Hunger,[]
Which of these is not a type of broom?,Occamy,[]
Which of the following could very well be a Chameleon Ghoul?,Coat Rack,[]
Which of the following is NOT a type of Transfiguration?,Summoning,[]
What are all Warlock conventions?,Confidential / Important.,[]
Which of these is an ancient predecessor to Quidditch?,Creaothceann.,['Quidditch']
What is the name of the three-headed dog that guards the Sorcerer's Stone?,Fluffy,[]
When did Gringotts Wizarding Bank open?,1474,"['Wizard', 'Gringotts Wizarding Bank', 'Gringotts']"
Where did you have to go to study Trelawney's prophecy?,The Centaur Camp,"['Centaur', 'Centaur']"
What's the name of the magical government in the Harry Potter series?,The Ministry of Magic,"['Harry Potter', 'Ministry of Magic', 'The Ministry of Magic']"
What type of Potion is Weedosoros?,Poison,[]
Which books details the history of Quidditch?,Quidditch Through the Ages,['Quidditch']
The three D's of Apparition do not include which of the below?,Dimension,[]
Who is the Astronomy professor?,Professor Sinistra,[]
Which of the following is another dive commonly used by Seekers?,Spiral Dive,[]
What does 'Serpensortia' conjure?,Snakes,"['Snake', 'Serpensortia']"
Who decided the Dementor infestation could be an asset?,Damocles Rowle,[]
How many Philosopher's Stones have been known to exist?,One,[]
Who concocts a love potion meant for Harry that Ron ends up taking by mistake?,Romilda Vane,[]
What did Hermione use to help heal Ron's arm when it got splinched?,Essence of Dittany,[]
What is Wronski Feint?,Pretending to dive for the Snitch.,[]
By which statue is there a hidden pathway to Honeydukes?,The one-eyed witch,['Honeydukes']
When was the Golden Snidget first introduced into the game of Quidditch?,1269,['Quidditch']
What is Professor McGonagall’s animagus?,Silver tabby cat,[]
"What is the middle name of Harry's daughter, Lily?",Luna,[]
"To be allowed to Apparate, you must do what two things?",Be at least 17 years old and get your license.,[]
What was Elfric known as?,The Eager.,[]
Peeves is a giant of what?,Pranks,[]
"In the book version of Harry Potter and the Sorcerer's Stone, what is the name of Dudley's friend who goes to the zoo with the Dursleys and Harry?",Piers,['Harry Potter']
What did Hagrid name his pet dragon?,Norbert,['Norbert']
"When practising Bibliomancy, what passage should one select?",A random passage,[]
Which potion grants the drinker incredible luck?,Felix Felicis,['Felix Felicis']
Which Weasley dies during the final battle of Hogwarts?,Fred Weasley,"['Fred Weasley', 'Hogwarts']"
What is a toadstool?,A mushroom,[]
Which Quidditch ball is the biggest?,Quaffle,['Quidditch']
How many points is the Golden Snitch worth?,150,[]
What Goblin led the 18th century Golbin Rebellions?,Urg the Unclean,"['Goblin', 'Goblin']"
Who would make the most use of the charm Alohomora?,A Thief,['Alohomora']
When was Wendelin the Weird alive?,The Middle Ages.,[]
And what type of animal does Harry accidentally set free while they're at the zoo?,A boa constrictor,[]
"In the Goblet of Fire, which two schools participate in the Triwizard Tournament alongside Hogwarts?",Durmstrang and Beauxbatons,"['Fir', 'Hogwarts']"
What is notable about Everlasting Elixirs?,They never run out,[]
Which character do we see ride a broom for the first time in this movie?,Hermione Granger,['Hermione Granger']
I bet you don't know how many wizards serve on the Wizengamot!,50,[]
What would Peevsey do at a trial?,Cause a mistrial.,[]
What did Harry Potter's aunt and uncle say his parents passed from?,In a traffic accident,['Harry Potter']
Ginny Weasley bought a pet Pygmy Puff from her older brothers' joke shop. What did she name it?,Arnold.,['Ginny Weasley']
How old was the Sorcerer's Stone co-creator Nicolas Flamel when he decided to destroy it?,665,[]
Where is the entrance to the Chamber of Secrets?,Moaning Myrtle's bathroom,"['Moaning Myrtle', 'Chamber of Secrets', 'Chamber of Secrets']"
Where can Shrivelfigs be found?,Abyssinia,[]
I'd be surprised if you knew this. what's the first step of flying on your broom?,Kicking off,[]
"Moony, Wormtail, Padfoot, and Prongs are code names for which four characters?","Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter.","['Remus Lupin', 'Sirius Black', 'James Potter', 'Peter Pettigrew', 'Sirius Black', 'Peter Pettigrew']"
What is the name of the powerful and dangerous artifact that Voldemort creates in the Harry Potter series by splitting his soul into seven pieces?,The Horcruxes,"['Harry Potter', 'Voldemort', 'Horcruxes']"
How many times did Wendelin the Weird allow herself to be caught?,Forty-seven.,[]
What can cause a person's patronus to change?,Major Life Events,[]
What magical sport is popular in North America?,Quodpot,[]
I bet you don't know how many wizards serve on the Wizengamot!,50,[]
Which Quidditch players score goals?,The Chasers,['Quidditch']
What magical plant allows humans to breathe underwater?,Gillyweed,[]
How do you tell if a door is Imperturbable?,Chuck stuff at it,[]
Who does Harry take to the Yule Ball?,Parvati Patil,['Parvati Patil']
In which situation would the Blackboard Writing Spell be useful?,Summarising a lecture,[]
"In 1997, what was written on the statue at the Ministry of Magic under Voldemort's control?",Magic is Might,"['Voldemort', 'Ministry of Magic']"
When is Neville's birthday?,July 30,[]
What magical sport is popular in North America?,Quodpot,[]
Where could you buy broomsticks?,Quality Quidditch Supplies,['Quidditch']
What does the Sorcerer's Stone do?,"It produces the Elixir of Life, granting immortality, and can turn any metal into pure gold.",[]
Which creatures guard wand-making trees?,Bowtruckles,[]
Screechsnaps are capable of doing which of the following?,Move & Make Noise,[]
"Monkshood and wolfsbane are the same plant, also known as what?",Aconite,[]
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,[]
What was the Seeker originally called?,The Hunter,[]
Who is the Half-Blood Prince?,Severus Snape,['Severus Snape']
How did Fred and George get the money to open their shop?,They won a bet on the Quidditch World Cup,"['Quidditch World Cup', 'Quidditch']"
What's the first step to performing a Bell Tailslide?,Flying straight up.,[]
Who did Harry overhear in the Three Broomsticks talking about how Sirius Black betrayed his parents?,"Professor Flitwick, Professor McGonagall, Hagrid, Cornelius Fudge and Madam Rosmerta","['Cornelius Fudge', 'Sirius Black', 'Rosmerta', 'Cornelius Fudge', 'Sirius Black']"
How is Quodpot different from Quiddtich?,The ball explodes.,[]
Which of these titles or identities has not been held by Harry Potter?,SPEW Treasurer,['Harry Potter']
How many Knuts equal one Sickle?,29,[]
Which of the following is another dive commonly used by Seekers?,Spiral Dive,[]
What is the incantation for the snake-vanishing spell?,Vipera Evanesca.,['Vipera Evanesca']
How many points is a goal worth?,Ten,[]
"In the epilogue to the book, who says, “Don’t let it worry you. It’s me, I’m extremely famous.”",Ron Weasley,['Ron Weasley']
What does Harry steal from Dolores Umbridge’s office in the Ministry of Magic?,Mad-Eye Moody’s magical eyeball,"['Dolores Umbridge', 'Ministry of Magic']"
Who is the History of Magic Professor?,Professor Binns,[]
What is the name of Fleur Delacour and Bill Weasley’s house?,Shell Cottage,"['Bill Weasley', 'Fleur Delacour', 'Shell Cottage', 'Shell Cottage']"
Who among the following served as a Hufflepuff Prefect?,Ernie Macmillan,['Hufflepuff']
What does the Potion for Dreamless Sleep induce?,Drowsiness.,[]
Which Quidditch ball is the biggest?,Quaffle,['Quidditch']
Who kidnapped Mad-Eye Moody just before the Twiwizard Tounament?,Bartemius Crouch Junior,[]
When do Puffskeins hum?,When they're content.,[]
What's one form of Hex-Deflection?,Salvio Hexia,[]
Who of the following was not a classmate of Harry Potter?,Fleur Delacour,"['Harry Potter', 'Fleur Delacour']"
Where are the highest quality Shrivelfigs grown?,Abyssinia,[]
Which of the Hogwarts ghosts is Peeves afraid of?,The Bloody Baron,"['Bloody Baron', 'Hogwarts']"
Who is the flying instructor?,Madam Hooch,[]
What are the colors of Ravenclaw?,Blue and bronze,['Ravenclaw']
What did Wendelin do to make sure she wasn't recognized?,Wore disguises.,[]
Where can Knotgrass be found?,The Forbidden Forest,"['Forbidden Forest', 'The Forbidden Forest']"
Which of Voldemort’s Horcruxes do Harry and Dumbledore track down—but it turns out to be a fake?,Slytherin’s locket,"['Voldemort', 'Slytherin', 'Horcruxes']"
"In Harry Potter and the Prisoner of Azkaban, where is the secret passage from Hogwarts to Honeydukes hidden?",Beneath the statue of the one-eyed witch,"['Harry Potter', 'Harry Potter and the Prisoner of Azkaban', 'Honeydukes', 'Hogwarts']"
Mimbulus mimbletonia secretes what substance?,Stinksap,[]
What does Charlie Weasley do for a living after graduation?,Study dragons,[]
What kind of wood is Harry's first wand made out of?,Holly,['Holly']
Harry discovers he’s one of Voldemort’s seven Horcruxes. What are the others?,"Tom Riddle’s Diary, Nagini, the giant ring, the Hufflepuff cup, Slytherin Locket, and Ravenclaw diadem.","['Voldemort', 'Tom Riddle', 'Tom', 'Diary', 'Slytherin', 'Ravenclaw', 'Hufflepuff', 'Tom Riddle', 'Horcruxes']"
Thestrals are mistakenly considered to be omens of what?,Misfortune.,[]
What is the name of the magical hospital?,St. Mungo's Hospital for Magical Maladies and Injuries.,[]
What is the name of Harry's owl?,Hedwig,[]
Which Quidditch players fend off the Bludgers?,The Beaters,['Quidditch']
