question,answer,anchor_words
How many staircases does Hogwarts have?,142,['Hogwarts']
What was the point of this lesson?,Fine tune your skills,[]
How many presents did Dudley Dursley receive on his birthday in total?,"38. It was 36 (one less than last year), but then Mrs. Dursley bought him two new presents to make up for it.",['Dudley Dursley']
Which of the following was not a breed of Dragon faced by the Triwizard Tournament Champions?,Norwegian Ridgeback,[]
Who wrote the book Curses and Counter-Curses?,Viridian,[]
In what capacity did the Sardinian sorcerers attend the Convention?,Sub-Committee,[]
How did Harry first arrive (and ultimately depart from)the Dursley's house on 4 Privet Drive?,Flying Motorobike,['4 Privet Drive']
"When stirring a Wiggenweld Potion, how many times will the solution change color during the stirring process?",Several,[]
Which incantation cancels all spell effects?,Finite Incantatem,['Finite']
In what year did the Gargoyle Strike take place?,1911,[]
"What was connected by the Floo Network, creating a mode of transportation for Witches and Wizards?",Fireplaces,"['Wizard', 'Witch', 'Fir']"
What is a group of Bowtruckles called?,Branch,[]
Who was the original owner of the locket Horcrux?,Salazar Slytherin,['Slytherin']
What name was Harry Potter using when he was captured at Malfoy Manor by the Death Eaters?,Vernon Dudley,"['Harry Potter', 'Man', 'Death Eater', 'Malfoy Manor', 'Malfoy Manor']"
Which of these creatures' blood will keep a human alive?,Unicorn,[]
What am I most known for?,My Partially Severed Neck,[]
Which pub in London conceals the entrance to Diagon Alley?,The Leaky Cauldron,"['All', 'The Leaky Cauldron', 'Diagon Alley', 'Diagon Alley', 'The Leaky Cauldron']"
Do you know what potion is effective against Banshees?,The Laughing Potion,[]
How is Quodpot different from Quiddtich?,The ball explodes.,[]
What do Dark Spells require in order to be successful?,Malicious Intent,[]
What are meteor showers usually named after?,Constellations.,[]
Who discovered the 12 uses for dragon blood?,Professor Dumbledore,[]
How many Lionfish Spines are used in one batch of Herbicide Potion?,Four,[]
Which Quidditch ball is equipped with the Gripping Charm?,Quaffle,['Quidditch']
Name the six subjects every Hogwarts student is required to study during their first two years of school.,"Astronomy, Charms, Defense Against the Dark Arts, Herbology, History of Magic, Potions, and Transfiguration.",['Hogwarts']
"What kind of pet does Harry own, and what is her name?",An owl named Hedwig.,[]
What covers the distinct nettle leaf?,Stinging hairs.,[]
Do you know what kind of creature a Boggart is? Because I [Merula] do.,Non-being,[]
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy,"['Quidditch World Cup', 'Quidditch']"
What incantation shrinks an object?,Reducio,['Reducio']
Who is the Divination Professor?,Professor Trelawney,[]
What spell vanishes an object?,Evanesco,[]
What is the most powerful truth serum?,Veritaserum,['Veritaserum']
What is Wronski Feint?,Pretending to dive for the Snitch.,[]
Who is the Head of Ravenclaw House?,Professor Flitwick,['Ravenclaw']
Where could you buy broomsticks?,Quality Quidditch Supplies,['Quidditch']
"If one wished to increase the effect of the Bombarda spell, which incantation would you use?",Bombarda Maxima,['Bombarda']
What is an acceptable use of the Orb?,Divining the future,[]
What type of Ghoul is capable of disguising itself?,Chameleon Ghouls,[]
Who is the sister of Death Eater Bellatrix Lestrange?,Narcissa Malfoy,"['Bellatrix Lestrange', 'Narcissa Malfoy', 'Death Eater']"
Which is NOT a reason for a wizard to remain on earth as a ghost?,Hunger,[]
Who kills Dobby?,Bellatrix Lestrange,"['Bellatrix Lestrange', 'Dobby']"
What does Hagrid use to channel the pieces of his wand once it's been broken?,A pink umbrella,[]
Who is the Gamekeeper of Hogwarts?,Rubeus Hagrid,"['Rubeus Hagrid', 'Hogwarts']"
What is the animal symbol of Ravenclaw?,Eagle,['Ravenclaw']
True or false: Harry Potter and the Deathly Hallows: Part Two is the shortest Harry Potter movie.,True! The run time is just 130 minutes.,['Harry Potter']
"Snape grilled Harry about this on his first day in Potions. Monkshood and wolfsbane are the same plant, also known as what?",Aconite.,[]
What's the only all-wizard village in Britain?,Hogsmeade,['Hogsmeade']
"Oy, you'll be sure to remember this one. During our first day of Herbology class, what creature took the form of a werewolf and gave Penny Haywood a scare?",Boggart,[]
Pepperup Potion evolved from a remedy created by what 12th century wizard?,Linfred of Stinchcombe,[]
Who was the Hogwarts headmaster before Albus Dumbledore?,Armando Dippet,"['Albus Dumbledore', 'Hogwarts']"
Scourgify can be used to clean out infestations of what magical creature?,Bundimun,[]
Where was Harry born?,Godric's Hollow,"[""Godric's Hollow"", ""Godric's Hollow""]"
Which of these is needed for successful broom casting?,Balance,[]
The Medieval Assembly of European Wizards is related to which convention?,International Warlock Convention,['Wizard']
Which spell does the Cleaning Charm most resemble?,Scouring Charm,[]
Why did students think Harry was the Heir of Slytherin?,He can speak Parseltongue.,"['Slytherin', 'Heir of Slytherin']"
What was the Seeker originally called?,The Hunter,[]
Where are the vaults kept in Gringotts Bank?,Deep underground.,['Gringotts']
Which dark magic item is known as the friend of thieves?,Hand of Glory,[]
Where does Rubeus Hagrid first tell Harry that he’s a wizard?,In a hut on a rock,['Rubeus Hagrid']
How does one ward off a Dementor?,The Patronus Charm.,"['Patronus Charm', 'The Patronus']"
What charm can repel a Lethiford?,Patronus Charm,['Patronus Charm']
What dragon did Fleur Delacour face in the first task of the Triwizard Tournament?,Welsh Green,['Fleur Delacour']
What is an animagus?,A person with an animal form,[]
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
Which Quidditch players fend off the Bludgers?,The Beaters,['Quidditch']
A Nimbus is a type of what?,Broom,[]
What's the term for an object imbued with a fragment of a wizard's soul?,Horcrux,[]
What is the primary ingredient in Polyjuice potion?,The hair of the person you want to transform into,[]
Who spoke at Aragog's funeral?,Horace Slughorn,"['Horace Slughorn', 'Aragog', 'Aragog', 'Horace Slughorn']"
Who is the ghost of Slytherin House?,The Bloody Baron,"['Bloody Baron', 'Slytherin']"
Which potion should you all be required to drink before entering my potion?,Wit-Sharpening Potion,[]
Which of the following is NOT a type of Dark Magic?,Charm,[]
"After Draco insults Hermione, Ron cast a spell that backfired. What did he intend for Draco to eat?",Slugs,[]
Where's one place you would not find any gnomes?,Antarctica,[]
Where would you look to find a bezoar?,In the stomach of a goat,[]
How long did the longest Quidditch game last?,Six months,['Quidditch']
What did Fred and George Weasley use to spy on Order of the Phoenix meetings?,Extendable Ears,"['George Weasley', 'Phoenix']"
"In the Hall of Prophecy, there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?",97,['Voldemort']
Lily Potter once gave Professor Slughorn a bowl with a lily that turned into a goldfish. What was the goldfish’s name?,Francis,['Lily Potter']
What is the name of the ghost who haunts the Hogwarts bathroom?,Moaning Myrtle,"['Moaning Myrtle', 'Hogwarts']"
What is the name of the librarian at Hogwarts?,Madam Pince,['Hogwarts']
Which Quidditch players fend off the Bludgers?,The Beaters,['Quidditch']
What are the four Hogwarts houses?,"Gryffindor, Ravenclaw, Slytherin, and Hufflepuff.","['Gryffindor', 'Slytherin', 'Ravenclaw', 'Hufflepuff', 'Hogwarts']"
How long was You-Know-Who in power?,11 Years,[]
Which of these is not a type of broom?,Phoenix,['Phoenix']
What magical plant did Luna Lovegood have growing at home?,Dirigible Plums,"['Luna Lovegood', 'Luna Lovegood']"
How many teams are in the British and Irish Quidditch League?,Thirteen,['Quidditch']
"What do the abbreviations for the two main wizarding exams, O.W.L.s and N.E.W.T.s, stand for?",Ordinary Wizarding Level and Nastily Exhausting Wizarding Test.,['Wizard']
What did the Dursleys give Harry for Christmas in his first year at Hogwarts?,Fifty Pence,['Hogwarts']
The Diricawl is actually thought to be which extinct Muggle bird?,The Dodo.,[]
"In Book 3, what is Neville Longbottom's greatest fear, revealed upon facing a boggart in Lupin's class?",Professor Snape.,['Neville Longbottom']
Who was the House-Eld that once served Barty Crouch Senior?,Winky,[]
Voldemort stole Helga Hufflepuff's cup from an old woman named Hepzibah Smith. What was the name of her house-elf?,Hokey.,"['Voldemort', 'Hufflepuff']"
Who is Stan Shunpike?,The conductor of the Knight Bus,['Knight Bus']
Nearly Headless Nick is a patron house of which House?,Gryffindor,"['Nearly Headless Nick', 'Gryffindor']"
Where was Harry Potter born?,Godric's Hollow,"['Harry Potter', ""Godric's Hollow"", ""Godric's Hollow""]"
What's in a forgetfulness potion?,Lethe Water,[]
Which Quidditch players score goals?,The Chasers,['Quidditch']
What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map,['Hogwarts']
What was the Seeker originally called?,The Hunter,[]
How many times did Wendelin the Weird allow herself to be caught by witch-hunters?,Forty-Seven,[]
What is the name of the three-headed dog guarding the trapdoor in Harry Potter and the Sorcerer's Stone?,Fluffy,['Harry Potter']
What item in the Headmaster's Office allows you to review bottled up memories?,The Pensieve,"[""Headmaster's Office"", 'Pensieve', 'The Pensieve']"
What does the Drought Charm cause?,Dryness,[]
What's the first step to performing a Bell Tailslide?,Flying straight up.,[]
What magical artefact creates the Elixir of Life?,Philosopher's Stone,[]
Who is in the first memory Professor Dumbledore shows Harry in the Pensieve?,"Bob Ogden, an employee of the Department of Magical Law Enforcement",['Pensieve']
Which of the following spells is not used in Transfiguration Class?,Confundo,['Class']
Where did the Goblin Rebellion of 1612 take place?,Hogsmeade Village,"['Goblin', 'Goblin', 'Hogsmeade']"
In which of these scenarios would you use the impediment jinx?,To slow a rushing opponent.,[]
What is Ron's favorite Quidditch team?,Chudley Cannons,['Quidditch']
And what about his pet dragon?,Norbert,['Norbert']
The visitor’s entrance to the Ministry of Magic is an abandoned red telephone booth in London. What is the five-digit code you must dial to get in?,6-2-4-4-2. (Bonus: This spells M-A-G-I-C on a phone's keypad.),['Ministry of Magic']
Which spell did Hermione use to release the dragon from Gringotts Bank?,Revulsion Jinx,"['Revulsion Jinx', 'Gringotts']"
How many points is the Golden Snitch worth?,150,[]
You wouldn't know anything about this. Name a method to make your broom go faster.,Using polish,[]
What is the incantation for the Disarming Spell?,Expelliarmus,['Expelliarmus']
What does the boggart turn into when Mrs. Weasley sees it?,Her entire family and Harry lying dead on the floor,[]
"When Professor Snape takes over Professor Lupin’s Defense Against the Dark Arts class, which page does he ask the students to turn to?",Page 394 (the page on werewolves),[]
Which dry ingredient is used in a wideye potion?,Billywig Sting,[]
What did Fred and George Weasley call their joke shop?,Weasleys’ Wizard Wheezes,"['George Weasley', 'Wizard']"
Which of these is not a cleaning spell?,Confrigo,[]
What became outlawed after the Warlock's Convention of 1709?,Dragon breeding.,[]
Who is the Herbology professor?,Professor Sprout,[]
What spell would you use to men a pair of glasses?,Reparo,['Reparo']
"Before Dumbledore, who was headmaster of Hogwarts?",Armando Dippet,['Hogwarts']
What does it mean when a magical creature is classified as X by the Ministry of Magic?,Boring,['Ministry of Magic']
Which Wizarding school did Gellert Grindelwald attend?,Durmstrang Institute,"['Gellert Grindelwald', 'Wizard', 'Durmstrang Institute']"
What is the cure for being Petrified?,Mandrake root,"['Man', 'Petrified']"
What is the biggest Quidditch event?,World Cup,['Quidditch']
What is the Grim?,A spectral dog,[]
Catching what object ends a Quidditch match?,Golden Snitch,"['Cat', 'Quidditch']"
Colovaria is also known as what?,Colour Change Charm,[]
Where was Harry Potter born?,Godric's Hollow.,"['Harry Potter', ""Godric's Hollow"", ""Godric's Hollow""]"
How can you tell if a door is Imperturbable?,Chuck stuff at it.,[]
Which potion contains Fluxweed?,Polyjuice Potion,['Polyjuice Potion']
What was Gilderoy Lockhart's best Spell?,Obliviate,"['Gilderoy Lockhart', 'Obliviate', 'Gilderoy Lockhart']"
What other name is the Doxy commonly known by?,The Biting Fairy.,[]
Which potion is commonly featured in Muggle fairy tales?,Draught of Living Death,[]
Which was the last of Voldemort's Horcruxes to be destroyed?,Nagini,"['Voldemort', 'Horcruxes']"
Which scent attracts Hermione Granger?,"Freshly mown grass, mint toothpaste, and fresh parchment",['Hermione Granger']
What charm creates water?,Aguamenti,['Aguamenti']
What teleportation magic do sixth-years learn at Hogwarts?,Apparition,['Hogwarts']
What effect does diluted Swooping Evil venom have?,Erases bad memories,[]
What does the house with the highest score win?,House Cup,[]
Which Quidditch players score goals?,The Chasers,['Quidditch']
What is Hermione's cat's name?,Crookshanks,[]
Who removes all the bones from Harry’s arm?,Gilderoy Lockhart,"['Gilderoy Lockhart', 'Gilderoy Lockhart']"
Which was my Tonks favourite band?,The Weird Sisters,[]
How many points is the Golden Snitch worth?,150,[]
How many players are on a Quidditch team?,7,['Quidditch']
Which Quidditch team is last in the league?,Chudley Cannons,['Quidditch']
What is the name of the Hogwarts poltergeist?,Peeves,['Hogwarts']
And who is Ron’s actual love interest this year?,Lavender Brown,['Lavender Brown']
"In Harry Potter and the Chamber of Secrets, where were Harry, Hermione, and Ron coming from when they found Mrs. Norris petrified?",Nearly Headless Nick's Deathday Party,"['Harry Potter', 'Nearly Headless Nick', 'Harry Potter and the Chamber of Secrets', 'Chamber of Secrets', 'Chamber of Secrets']"
What is the Ministry of Magic classification system?,A creature's danger level,['Ministry of Magic']
"In Harry Potter and the Half-Blood Prince, in the Weasleys' magical clock, what are all of the hands pointed to when Harry arrives at the Burrow?",Mortal peril,"['Harry Potter', 'Harry Potter and the Half-Blood Prince']"
Who invented the Wronski Feint?,Josef Wronski,[]
How should your completed Scintillation Solution look?,Sparkling.,[]
What is the main ingredient in Harry Potter's wand?,A phoenix feather.,['Harry Potter']
Streeler venom is one of the only substances known to kill which invasive species?,Horklump,[]
Who is the Divination professor?,Professor Trelawney,[]
No spell yet devised allows a wizard to what?,Fly unaided,[]
Which of these spells is a severing charm?,Diffindo,['Diffindo']
What does the charm Lumos provide?,Light,['Lumos']
Which of these is not a form of Transfiguration?,Enchantment,[]
Where is Hogwarts located?,Scotland,['Hogwarts']
What is the name of the Hogwarts poltergeist?,Peeves,['Hogwarts']
What does the Hair-Raising potion do?,Makes hair stand up,[]
Which is NOT another form of magical transportation?,Mop Flying,[]
What is Hermione’s patronus?,An otter,[]
Who lied to Voldemort during the final battle by proclaiming that Harry Potter was dead?,Narcissa Malfoy,"['Harry Potter', 'Voldemort', 'Narcissa Malfoy']"
How many siblings does Ron Weasley have?,Six,['Ron Weasley']
What is a non-side effect of Elixir to induce Euphoria?,Excessive sweating,[]
How many points is the Golden Snitch worth?,150,[]
Where is Ovomancy thought to originate?,Ancient Greece,[]
What does Veritaserum taste like?,It has no taste at all.,['Veritaserum']
What did Xenophilius Lovegood believe Billywig wings could induce?,An elevated frame of mind.,['Xenophilius Lovegood']
"What spell does Harry discover written in the Half-Blood Prince's potions textbook in Book 6, and who invented it?","Sectumsempra, Severus Snape.","['Severus Snape', 'Sectumsempra', 'Sectumsempra', 'Sectumsempra']"
What fluffy creature hums when it's happy and likes to stick its tongue up Wizards' noses?,Puffskein,['Wizard']
What are the three D’s of a successful Apparition?,"Destination, determination and deliberation",[]
Which spell has the opposite effect of Lumos?,Nox,"['Lumos', 'Nox']"
Which of these spells keeps a charm stable?,Fianto Duri,[]
How did Mad-Eye Moody punish Draco Malfoy for trying to Hex Harry?,He turned Draco into a ferret.,['Draco Malfoy']
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
What creature did the Wizards’ Council make a protected species?,Golden Snidget.,['Wizard']
Who is the headmaster of Hogwarts during Harry's time there?,Albus Dumbledore,"['Albus Dumbledore', 'Hogwarts']"
"According to Hagrid, which is the safest place in the Wizarding World other than Hogwarts?",Gringotts,"['Wizard', 'Hogwarts', 'Gringotts']"
When did the Witch Trials of 1692 take place?,Salem,['Witch']
"Where do I- I mean, where does Tonks like to hide Jelly Slugs?",Herbology Pots,[]
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,[]
What is the last line of the last book?,“All was well.”,['All']
What spell transforms an object into a Portkey?,Portus,"['Portus', 'Portus']"
Casting Fumos creates what kind of defensive cloud?,Smoke,[]
What will help you whilst attempting Strong Braking?,A firm grip.,[]
What's Nearly Headless Nick's real name?,Nicholas de Mimsy-Porpington,['Nearly Headless Nick']
What charm silences an opponent?,Silencio,[]
Which of these spells can summon an object?,Accio,['Accio']
Fill in the blank: Petrificus Totalus is the incantation for the Full Body-Bind curse.,Bind (Got this in the Petrificus Totalus lesson.),['Petrificus Totalus']
What is the first line of the book?,"“Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.”",[]
Who did not compete in the Triwizard Tournament?,Fred,[]
Which of these is not a type of broom?,Phoenix,['Phoenix']
What did the Wizards' Council sign into action in 1692?,International Statute of Wizarding Secrecy,['Wizard']
What two creatures are Hippogriffs a mix of?,Horses and eagles,['Horse']
What is the name of the magical creature that can only be seen by those who have witnessed death?,Thestral,[]
What job does Luna Lovegood's father hold?,"Editor of ""The Quibbler""","['Luna Lovegood', 'Luna Lovegood']"
What is Nearly Headless Nick's full name?,Nicholas de Mimsy-Porpington,['Nearly Headless Nick']
Who is the matron of the orphanage where Voldemort grows up?,Mrs. Cole,"['Voldemort', 'Mrs. Cole']"
How many points is the Golden Snitch worth?,150,[]
What tail did Hagrid make Dudley grow because the Dursleys were rude?,Pig tail,[]
How many staircases are at Hogwarts?,142,['Hogwarts']
How many students sleep in each Hogwarts dormitory?,5,['Hogwarts']
Kneazles are most similar to what animal?,Cat,['Cat']
How many staircases are at Hogwarts?,142,['Hogwarts']
Which book is instrumental for this lesson?,Charm Your Own Cheese.,[]
Which star is the brightest in the night sky?,Sirius.,[]
Which is NOT one of the palm lines we read in Palmistry?,Time line,[]
In the Hall of Prophecy there are rows and rows of glowing orbs. Which row contains the prophecy about Harry and Voldemort?,Row 97.,['Voldemort']
What's a telltale sign that mandrakes have matured?,They move into each other's pots,[]
What is the max speed of a Firebolt broomstick?,150 mph,['Fir']
Why would you cast Alohomora?,Unlock a door.,['Alohomora']
What do the students call the Gryffindor ghost?,Nearly Headless Nick.,"['Nearly Headless Nick', 'Gryffindor']"
What is the biggest Wizarding newspaper in Britain?,The Daily Prophet,['Wizard']
"In the movie, Professor McGonagall explains the origins of the Chamber of Secrets. Who does it in the book?","Professor Binns, the history teacher (who is also a ghost)","['Chamber of Secrets', 'Chamber of Secrets']"
Who was the first Minister of Magic?,Ulick Gamp,[]
What is the name of Harry's owl?,Hedwig,[]
How many players are on a quidditch team?,7,[]
"In 1876, which caretaker tried to make Peeves leave Hogwarts?",Rancorous Carpe,['Hogwarts']
Fanged Geraniums are most notable for what?,Their Fangs,[]
Which of the following is another dive commonly used by Seekers?,Spiral Dive,[]
From what event do we measure the age of the universe?,The Big Bang.,[]
Who does Bill Weasley marry?,Fleur Delacour,"['Bill Weasley', 'Fleur Delacour']"
Who is the Slytherin ghost?,The Bloody Baron,"['Bloody Baron', 'Slytherin']"
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,[]
What is the name of the wizarding prison in the Harry Potter series?,Azkaban,['Harry Potter']
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,[]
Who is Hufflepuff's patron ghost?,Fat Friar,['Hufflepuff']
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
How many Muggles see the flying Ford Anglia as Harry and Ron make their way to school?,Seven,[]
How is mail delivered in the wizarding world?,By owl post.,[]
What is Madam Hooch's second job?,Quiddich Referee,[]
What is a spell used to mend broken objects?,Reparo,['Reparo']
What is the term for a witch or wizard who can see the future?,Seer,[]
"Who do you prefer: Dust, Binns, or Peeves?",Peeves!,[]
Who is the professor of Transfiguration class?,McGonagall,[]
What is Professor Minerva McGonagall's animagus?,A cat.,['Minerva McGonagall']
Which one of the following is not a founder of Hogwarts?,Helena Ravenclaw,"['Helena Ravenclaw', 'Ravenclaw', 'Hogwarts']"
How many players are on a quidditch team?,7,[]
What potion gives good luck to those who drink it?,Felix Felicis,['Felix Felicis']
Who sent Harry his Firebolt?,Sirius Black,"['Sirius Black', 'Fir', 'Sirius Black']"
"In our second year, where did you sneak into using a Shrinking Charm?",A Common Room,['Shrinking Charm']
Which charm did we end in class by using Finite Incantatem?,Wand-lighting,['Finite']
Harry was raised by his mother’s sister. What was his aunt named?,Petunia,[]
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,[]
True or false: This is the longest movie in the franchise.,"False! Harry Potter and the Chamber of Secrets is the longest movie, at 161 minutes.","['Harry Potter', 'Harry Potter and the Chamber of Secrets', 'Chamber of Secrets', 'Chamber of Secrets']"
Dittany is used primarily for what purpose?,Healing,[]
What is the magical equipment store in Hogsmeade?,Dervish and Banges,['Hogsmeade']
What boil-inducing ingredient can create an explosive reaction when added to a Cure for Boils?,Bulbadox Powder,[]
What is Luna Lovegood’s father’s name?,Xenophilius Lovegood,"['Luna Lovegood', 'Xenophilius Lovegood', 'Luna Lovegood']"
What was the name of the company Vernon Dursley worked for?,Grunnings,['Vernon Dursley']
Which books details the history of Quidditch?,Quidditch Through the Ages,['Quidditch']
"Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what?",The London Underground.,[]
Who loses an ear at the start of the book?,George Weasley,['George Weasley']
Professor Sprout is the head of which Hogwarts house?,Hufflepuff,"['Hufflepuff', 'Hogwarts']"
Dark matter and dark energy make up what percentage of our universe?,95%.,[]
Why would you need to switch brooms midair?,Broom failure,[]
Which ghost haunts the second-floor girls' bathroom in Hogwarts?,Moaning Myrtle,"['Moaning Myrtle', 'Hogwarts']"
What piece of equipment is essential when re-potting baby Mandrakes?,Earmuffs,['Man']
What type of cauldron do first-year students need?,Pewter,[]
Who is manipulated into vandalizing Hogwarts with messages about the Chamber of Secrets?,Ginny Weasley,"['Ginny Weasley', 'Chamber of Secrets', 'Hogwarts', 'Chamber of Secrets']"
What is Lockhart's favorite color?,Lilac,[]
What is James Potter's Marauder nickname?,Prongs,['James Potter']
Where is the Hall of Prophecy?,Ministry of Magic,['Ministry of Magic']
What distinguishes Chameleon Ghouls from ordinary ghouls?,Their ability to change shape,[]
Which of these books covers ancient runes?,Spellman's Syllabery,[]
Who is the giant three-headed dog that guards the trapdoor leading to the Philosopher's Stone in the first book?,Fluffy,[]
How many Principal Exceptions are there to Gamp's Law of Elemental Transfiguration?,Five,[]
What part of a Mandrake is potentially fatal?,Its scream,['Man']
What type of ball attempts to hit players?,Bludger,[]
What should you avoid getting in your eyes while flying?,Insects,[]
Who is Slytherin's patron ghost?,Bloody Baron,"['Bloody Baron', 'Slytherin']"
What is the incantation for the Exploding Charm?,Bombarda,"['Bombarda', 'Exploding Charm']"
Where are flying lessons held?,Training Grounds,[]
An intended transformation is directly influenced by which of the following?,Concentration,[]
What does the Stretching Jinx do?,Causes the target to stretch,[]
What is the name of the magical object that allows the user to become invisible?,The Cloak of Invisibility,[]
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,[]
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,"['Ministry of Magic', 'Quidditch', 'The Ministry of Magic']"
What is the name of the game played on broomsticks in the Harry Potter series?,Quidditch,"['Harry Potter', 'Quidditch']"
Wich of these creatures is notable proud and easy to offend if not treated politely?,Hippogriff,[]
Starfish and Stick is a tactic used by what Quidditch position?,Keeper,['Quidditch']
Which of these tasks can not be aided by a Vanishing Spell?,Dancing,[]
"What do Harry, Ron and Hermione find in the locked cabinet of a writing desk at the Order of the Phoenix Headquarters?",A Boggart,"['Phoenix', 'Ron and Hermione']"
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,"[""Headmaster's Office"", 'Pensieve', 'The Pensieve']"
Do you know what kind of creature a Boggart is?,Non-being,[]
Why would you need to switch brooms midair?,Broom failure,[]
What is the name of the Hogwarts caretaker who is always complaining about the students?,Argus Filch,"['Argus Filch', 'Hogwarts']"
Why did the Werewolf Code of Conduct fail?,No Werewolves Signed,['Werewolf']
You should cover your ears when this mature plant starts crying. Name that plant!,Mandrake,['Man']
What are fluxweed and Boomslang skin used for?,Polyjuice,[]
Who invented the Snitch in the Harry Potter series?,Bowman Wright,['Harry Potter']
Who invented the Cheering Charm?,Felix Summerbee,[]
"Who was Harry's first kiss, and in what book?","Cho Chang, Book 5.",['Cho Chang']
What was the name of the orphanage where Lord Voldemort grew up?,Wool's Orphanage,['Voldemort']
What was the primary reason for the creation of the International Statute of Wizarding Secrecy?,Persecution by Muggles,['Wizard']
Which of the following is another dive commonly used by Seekers?,Spiral Dive,[]
What magical creature runs guards wand wood trees?,Bowtruckles,[]
What kind of spell is Flipendo?,Jinx,[]
What is the crime Harry commits that causes the Ministry of Magic to hold a disciplinary hearing for him?,"He uses the Patronus Charm in front of a Muggle (Dudley, and only because there were Dementors!).","['Ministry of Magic', 'Patronus Charm']"
Name the three different types of balls used in Quidditch.,"Quaffle, Bludger, Snitch.",['Quidditch']
What magical plant resembles a withered tree stump?,Snargaluff,[]
How many points is a goal worth?,Ten,[]
No spell yet devised allows a wizard to what?,Fly unaided,[]
What is the name of the Gryffindor ghost?,Nearly Headless Nick.,"['Nearly Headless Nick', 'Gryffindor']"
Which character in the Harry Potter series is known for wearing radish earrings?,Luna Lovegood,"['Harry Potter', 'Luna Lovegood', 'Luna Lovegood']"
The Hogwarts motto is “Draco dormiens nunquan titillandus.” What does it mean?,“Never tickle a sleeping dragon.”,['Hogwarts']
What's your favorite part of History of Magic?,Your impressions.,[]
Who is Ravenclaw's patron ghost?,The Grey Lady,['Ravenclaw']
What is Hagrid’s half-brother’s name?,Grawp,"['Grawp', 'Grawp']"
What color is Teddy Lupin's hair when he is born?,Black,[]
The Bouncy Bulb is extremely difficult to...,Pot.,[]
Which of the following books was not written by Rita Skeeter?,Easy Spells to fool Muggles,"['Rita Skeeter', 'Rita Skeeter']"
Which statement is true about conjured objects?,They vanish in time,[]
What charm creates water?,Aguamenti,['Aguamenti']
What magical sport is popular in North America?,Quodpot,[]
Who is the conductor of the Frog Choir?,Filius Flitwick,['Filius Flitwick']
Which of the following is a side effect of Wiggenweld Potion?,Healing injuries,[]
What position does Harry play in Quidditch?,Seeker,['Quidditch']
