question,answer,anchor_words
What are the two pubs in Hogsmeade called?,The Three Broomsticks and The Hog's Head.,"[""The Hog's Head"", 'The Three Broomsticks', 'Hogsmeade']"
"What is the counter spell for Accio, Summoning Charm?",Depulso,"['Accio', 'Summoning Charm']"
What is the name of Hagrid's pet dragon?,Norbert,['Norbert']
New students need to learn the secrets of the castle. How many staircases does Hogwarts have?,142.,['Hogwarts']
"Before the start of his second year at Hogwarts, how do the Weasley's manage to save Harry from the Dursley's house?",With a flying car,['Hogwarts']
Where does the Sopophorous Plant grow?,Gloomy marshlands.,[]
"Whose teeth did Nearly Headless Nick accidentally turn into tusks, leading to his death?",Lady Grieve,['Nearly Headless Nick']
What is another word for antidote?,Cure (I got this in the Antidote to Common Potions lesson),[]
Which of these is an ingredient in Polyjuice Potion?,Powdered Bicorn Horn,['Polyjuice Potion']
What animal is Dolores Umbridge obsessed with?,"Cats (specifically, kittens)","['Dolores Umbridge', 'Cat']"
What is the incantation for a Confundus charm?,Confundo,[]
Which of these is a Wiggenweld potion ingredient from the sea?,Lionfish Spine,[]
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,[]
How is Quodpot different from Quidditch?,The ball explodes,['Quidditch']
What is the name of the Weasley twins' magical joke shop?,Weasleys' Wizard Wheezes.,"['Wizard', ""Weasleys' Wizard Wheezes""]"
Some curses are even capable of doing what?,Spanning generations,[]
"In the Chamber of Secrets, where does Harry discover the entrance to the Chamber?",Myrtle's bathroom,"['Chamber of Secrets', 'Chamber of Secrets']"
Who did Professor Lupin marry?,Nyphadora Tonks,[]
Which Quidditch ball is the biggest?,Quaffle,['Quidditch']
Who killed Emeric the Evil in a duel?,Egbert the Egregious,[]
What creature sat in the corner of Professor Lupin's office the first time Harry Potter visited him at Hogwarts?,Grindylow,"['Harry Potter', 'Hogwarts']"
Which Minister of Magic resigned following the goblin rebellion of 1752?,Albert Boot,[]
What is the incantation for the Tongue-Tying Curse?,Mimblewimble,[]
What is the name of the street where the Dursleys live?,Privet Drive,[]
"When Harry, Ron and Hermione make Polyjuice Potion, who steals the ingredients from Professor Snape’s office?",Hermione,"['Ron and Hermione', 'Polyjuice Potion']"
Which potion causes the drinker to speak nonsense?,Babbling Beverage,[]
"What does Uncle Vernon’s sister, Marge Dursley, do for a living?",Breeds bulldogs,['Marge Dursley']
What charm creates water?,Aguamenti,['Aguamenti']
Which Quidditch team is last in the league?,Chudley Cannons,['Quidditch']
How many Deathly Hallows did Albus Dumbledore possess?,Three,['Albus Dumbledore']
What year was the first match?,1050 AD,[]
What is another name for the Alihotsy tree?,The hyena tree.,[]
What was Harry Potter's middle name?,James,['Harry Potter']
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,[]
A Nimbus is a type of what?,Broom,[]
Which books details the history of Quidditch?,Quidditch Through the Ages,['Quidditch']
What was Elfric the Eager responsible for?,An uprising.,[]
Which Quidditch ball is the biggest?,Quaffle,['Quidditch']
Which of the plants is prone to slapping people in the face?,Bouncing Bulbs,[]
The charm Descendo can make a targeted object do what?,Lower,[]
And how does Parvati defeat it?,"In the book, the mummy trips on its wrappings. In the movie, it turns into a giant jack-in-the-box (arguably no less scary).",[]
Where did Hermione hold the first meeting for students interested in joining Dumbledore's Army?,The Hog's Head,"[""The Hog's Head"", ""Dumbledore's Army""]"
How is Bellatrix related to Tonks?,Tonks is Bellatrix's niece.,[]
How many players are on a quidditch team?,7,[]
Where do monks grow gravity-resistant trees?,Nepal,[]
What is the brand of magic that deals with altering the form or appearance of an object?,Transfiguration,[]
"In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature?",Cat ears,['Cat']
What is Wronski Feint?,Pretending to dive for the Snitch.,[]
Who wrote Unfogging the Future?,Cassandra Vablatsky,[]
Who was expelled from Hufflepuff House?,Newt Scamander,['Hufflepuff']
"This one is a two-parter. Where does Vernon Dursley work, and what does the company produce?","Grunnings, a drill manufacturer.",['Vernon Dursley']
Which of the following would be the easiest Transfiguration?,Porcupine to Pincushion,[]
What's the best use for the Talirek Twirl?,Evading Bludgers.,[]
Who wrote Magical Draughts and Potions?,Arsenius Jigger,[]
Which of these is not a type of broom?,Occamy,[]
I bet you don't know how many wizards serve on the Wizengamot!,50,[]
What is Ginny's full name?,Ginevra Weasley,[]
This topic will be included on what exam?,The N.E.W.T.S.,[]
What class does Professor Vector teach?,Arithmancy,[]
What purpose does the Cough Potion serve?,Cures a cough,[]
What does solitary 'X' classification mean?,Boring,[]
What incantation makes an object waterproof?,Impervius,[]
Which of these spells would be most useful as an attack?,Engorgio,['Engorgio']
Who is the Astronomy professor?,Professor Sinistra,[]
What do you say to summon a broom to your hand?,Up,[]
How is Quodpot different from Quidditch?,The ball explodes,['Quidditch']
"On what date do the Weasleys rescue Harry from number four, Privet Drive?","July 31—his birthday, of course!",[]
What is the name of the Black family's house-elf?,Kreacher,['Kreacher']
Who is the Potions Master at Hogwarts?,Severus Snape,"['Severus Snape', 'Hogwarts']"
Cedric Diggory let Harry use the prefect's bathroom in The Goblet of Fire. What man's statue is next to the lavatory entrance?,Boris the Bewildered,"['Cedric Diggory', 'Fir']"
Is it safe to drink water conjured by Aguamenti?,"Yes, it's safe to drink.",['Aguamenti']
Arresto Momentum was originally developed for what purpose?,Slowing a Falling Quaffle,['Arresto Momentum']
What was the Seeker originally called?,The Hunter,[]
Who invented the Cheering Charm?,Felix Summerbee,[]
What is used in Xylomancy?,Twigs,[]
What’s the name of Hagrid’s half-brother?,Grawp,"['Grawp', 'Grawp']"
What is the platform at King's Cross Station where Hogwarts students catch the Hogwarts Express called?,Platform 9 ¾,"['Hogwarts Express', 'Hogwarts', ""King's Cross""]"
When was Ollivanders founded?,382 BC,"['Ollivanders', 'Ollivanders']"
When was He Who Must Not Be Named defeated?,Halloween,[]
What is the name of America's magical government?,MACUSA,[]
What are all Warlock conventions?,Important,[]
What does Harry name his children?,"James Sirius, Albus Severus, and Lily Luna",[]
What creature is known for guarding Gringotts Bank?,Dragons,['Gringotts']
Which creature was used in Quidditch before being replaced by the Golden Snitch?,Golden Snidget,['Quidditch']
Where is the entrance to the Chamber of Secrets?,"In the second-floor girl's bathroom, also known as Moaning Myrtle's bathroom.","['Moaning Myrtle', 'Chamber of Secrets', 'Chamber of Secrets']"
Which type of transfiguration is employed in this lesson?,Transformation,[]
"In the movie, what sound does Ron make after eating a magical candy?",A lion’s roar,[]
What color is Hagrid's umbrella?,Pink,[]
What does the Impediment Jinx do?,Temporarily Slows a Target,['Impediment Jinx']
What is the Bubotuber pus used for?,Clearing up acne,[]
Who was the original owner of the Sorting Hat?,Godric Gryffindor,"['Sorting Hat', 'Gryffindor']"
What does Harry do when he grows up?,He works as an Auror for the Ministry of Magic.,['Ministry of Magic']
Which is the exciting moment in the book that is cut out of the movie?,Gryffindor winning the Quidditch Cup,"['Gryffindor', 'Quidditch']"
Which Wizarding World publication contains series about the Crumple-Horned Snorkack?,The Quibbler,['Wizard']
Harry is known for his talents in Quidditch. What is the max speed for a Firebolt broomstick?,150 mph.,"['Fir', 'Quidditch']"
Why does Neville Longbottom faint in Herbology class?,"His earmuffs were loose, so he heard the cry of the baby mandrake.",['Neville Longbottom']
Where’s Peeves favorite place to swim?,Boys’ ground floor toilets,['Boy']
What does the reductor curse do?,Blasts objects into pieces.,[]
Can the Extinguishing Charm be used to put out dragon fire?,"Yes, it can.",[]
In which of these scenarios would you use Cistem Aperio?,Blasting Open a Locked Trunk,"['Cistem Aperio', 'Cistem Aperio']"
What does 'Avis' conjure?,Birds,[]
The Broom Casting technique enables one to do what while flying?,Cast spells.,[]
"What does Glumbubles treacle induce, if ingested?",Melancholy.,[]
Who is the second Peverell brother?,Cadmus Peverell,[]
Which Quidditch players fend off the Bludgers?,The Beaters,['Quidditch']
Who wrote A History of Magic?,Bathilda Bagshot,['Bathilda Bagshot']
What is Gilderoy Lockhart’s autobiography called?,Magical Me,"['Gilderoy Lockhart', 'Gilderoy Lockhart']"
What animal did Ginny joke that Ron had tattooed on his body?,Pygmy Puff,[]
Who is the author of 'Curses and Counter-Curses'?,Vindictus Viridian,[]
How many players are on a Quidditch team?,Seven,['Quidditch']
What is Parvati Patil’s Boggart in the book and the movie?,"In the book, a mummy; in the movie, a giant cobra",['Parvati Patil']
Which Ministry of Magic department regulates Quidditch?,Magical Games and Sports,"['Ministry of Magic', 'Quidditch']"
What ghost does Peeve fear?,Bloody Baron,['Bloody Baron']
Where do vanished items go?,Into non-being,[]
Who wrote the Dream Oracle?,Inigo Imago,[]
What is the side effect of Pepperup Potion?,Steam Coming from the Ears,[]
Which best describes the effects of a Switching Spell?,Switching Two Targets Simultaneously,[]
Which potions does not contain Valerian Sprigs?,Polyjuice Potion.,['Polyjuice Potion']
What property do you have to account for in Transfiguration?,Target's weight.,[]
Which sweet-smelling plant changes its scent?,Flutterby Bush,[]
Which Quidditch ball is the biggest?,Quaffle,['Quidditch']
"In the Quidditch World Cup, Ireland's team had three main chasers: Mullet, Troy, and Moran. Which one scored the first goal?",Troy.,"['Quidditch World Cup', 'Quidditch']"
How many points is a goal worth?,Ten,[]
I bet you don't know how many wizards serve on the Wizengamot!,50,[]
What does the incantation 'Incarcerous' conjure?,Binding ropes,['Incarcerous']
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
How is Quodpot different from Quidditch?,The ball explodes,['Quidditch']
"In The Sorcerer’s Stone, Harry and his friends are awarded last-minute House Points, putting Gryffindor ahead of Slytherin by just 10 points. What was the final tally?",482 to 472.,"['Gryffindor', 'Slytherin']"
In what potion is the Sneezewort featured?,Befuddlement Draught.,[]
What followed the Soap Blizzard of 1378?,Wizarding Economic Bubble Burst,['Wizard']
Which incantation changes a person's hair color?,Crinus Muto,[]
What animal did Neville Longbottom lose on the Hogwarts Express?,Toad,"['Neville Longbottom', 'Hogwarts Express', 'Hogwarts']"
What colour does the presence of a ghost turn flames?,Blue,[]
This one's a piece of cake. Name a magical plant whose roots can be used in many potions.,Valerian,[]
How does Dumbledore escape from his office when the Ministry of Magic comes to take him to Azkaban?,"He grabs Fawkes’s tail, and they disappear in a flash of fire.",['Ministry of Magic']
Quidditch players are constantly at risk of injury throughout the game. How many possible Quidditch fouls are there?,700.,['Quidditch']
"What was the name of the house where the Weasleys once lived, which became a second home to Harry Potter?",The Burrow,"['Harry Potter', 'The Burrow', 'The Burrow']"
What did Harry do to get him temporarily expelled from Hogwarts?,He chases away dementors,['Hogwarts']
What is the Fwooper plumage used as?,A quill,[]
In what year was the book Harry Potter and the Sorcerer’s Stone released in the United States?,1998,['Harry Potter']
What item in the Headmaster's Office allows you to review bottled memories?,The Pensieve,"[""Headmaster's Office"", 'Pensieve', 'The Pensieve']"
What do Switching Spells do?,Swap Objects for Each Other,['Other']
Which finger was Peter Pettigrew missing?,Right index finger,"['Peter Pettigrew', 'Peter Pettigrew']"
Dumbledore has a scar above his left knee that is a perfect map of what?,The London Underground,[]
Madam Hooch has distinct yellow what?,Eyes,[]
What can cause a person's patronus to change?,Major life events,[]
What's the first step to performing a Bell Tailslide?,Flying straight up.,[]
What do you feed a newly-hatched dragon?,Brandy and chicken blood,[]
Who wrote The Owl Airforce: True Life Tales of War in Europe?,Simon Dentata,[]
How do first years get from the Hogsmeade train station to the castle?,They take boats over the lake.,['Hogsmeade']
What are switching spells?,Simultaneous Transfigurations,[]
What was the name of the Quidditch team on the sock Mrs. Weasley tries to give to Harry?,Puddlemere United,['Quidditch']
This one is a doozy. Name every ingredient contained in Polyjuice Potion. (Hint: There are seven.),"Lacewing flies, leeches, powdered Bicorn horn, knotgrass, fluxweed, shredded Boomslang skin, and a bit of the person you want to turn into.",['Polyjuice Potion']
On which day do some staircases in Hogwarts Castle lead to somewhere different?,Friday,['Hogwarts']
Touching the trunk of a Wiggentree protects you from what?,Dark Creatures,[]
Myomancy involves observation of which creatures?,Mice and rats,[]
When was dragon-breeding outlawed?,Warlocks' Convention of 1709,[]
What do I hate most of all?,Myths and Legends,[]
What is the Chudley Cannons' team colour?,Orange,[]
"You may have heard that Luna Lovegood wears shoes to bed, but does anyone know the reason?",She sleepwalks,"['Luna Lovegood', 'Luna Lovegood']"
What's another name for Belladonna?,Deadly Nightshade,[]
Many know that Gryffindor's ghost is Nearly Headless Nick. But what is his full name?,Sir Nicholas de Mimsy-Porpington.,"['Nearly Headless Nick', 'Man', 'Gryffindor']"
What kind of pest repellant was Hagrid looking for when saw Harry in Knockturn Alley?,Flesh-Eating Slugs,"['All', 'Knockturn Alley']"
Which of these is needed for successful broom casting?,Balance,[]
How many students sleep in each Hogwarts dormitory?,5,['Hogwarts']
What is the incantation for the tongue-tying curse?,Mimblewimble.,[]
Who slayed Bellatrix Lestrange?,Molly Weasley,"['Bellatrix Lestrange', 'Molly Weasley']"
"In the book version of Harry Potter and the Half-Blood Prince, who finds Harry on the Hogwarts Express after Malfoy breaks his nose and leaves him under the Invisibility Cloak?",Tonks,"['Harry Potter', 'Harry Potter and the Half-Blood Prince', 'Hogwarts Express', 'Hogwarts']"
What were the wizards who cooperated with the Muggles called?,Scourers.,[]
Which room did the members of Dumbledore's Army use as a hideout?,The Room of Requirement,"['Room of Requirement', ""Dumbledore's Army""]"
When was Quidditch invented?,1050 AD,['Quidditch']
What spellbook contains the Leg-Locker Curse?,Curses and Counter-Curses,['Leg-Locker Curse']
Who is Harry's godfather?,Sirius Black,"['Sirius Black', 'Sirius Black']"
What type of ball attempts to hit players?,Bludger,[]
What does Ginny say Ron has a tattoo of?,A Pygmy Puff,[]
What form does Snape's patronus take?,Doe,['Doe']
What's the name of the joke shop in Hogsmeade?,Zonko's,['Hogsmeade']
What subject foes Headmistress McGonagall teach?,Transfiguration,[]
"What is the name of the Hogwarts house known for its ambition, cunning, and resourcefulness?",Slytherin,"['Slytherin', 'Hogwarts']"
What year do Hogwarts students take O.W.L.s?,Fifth year,['Hogwarts']
How many points is a goal worth?,Ten,[]
What family does Winky the house-elf belong to before working at Hogwarts?,The Crouch family,['Hogwarts']
What non-human species practices Divination?,Centaurs,"['Centaur', 'Centaur']"
What differentiates Knarls from hedgehogs?,Their suspicious nature,[]
Which Ghost haunts the Girls' Bathroom at Hogwarts?,"""Moaning"" Myrtle Warren","['Girl', 'Ghost', 'Ghost', 'Hogwarts']"
Where are flying lessons held?,Training Grounds,[]
"Who is NOT in Slytherin: Lavender Brown, Pansy Parkinson, Blaise Zabini, or Gregory Goyle?",Lavender Brown,"['Lavender Brown', 'Pansy Parkinson', 'Gregory Goyle', 'Blaise Zabini', 'Slytherin']"
What are Nettles known for?,Stinging Hairs,[]
What does Harry do to impress Professor McGonagall enough that she gets him on the Gryffindor Quidditch team?,Catches Neville Longbottom’s Remembrall,"['Neville Longbottom', 'Gryffindor', 'Cat', 'Quidditch']"
Who is Harry Potter's godfather?,Sirius Black,"['Harry Potter', 'Sirius Black', 'Sirius Black']"
What is the effect of Wideye Potion?,Keeps you awake,[]
When did Godric's fellow founders and Godric found Hogwarts?,10th Century,['Hogwarts']
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,"['Ministry of Magic', 'Quidditch', 'The Ministry of Magic']"
What class does Professor Vector teach?,Arithmancy,[]
Remus Lupin was known to his friends by what nickname?,Moony,['Remus Lupin']
What is the best way to extract juice from the Sopophorous Bean?,Crush it,[]
What do aurors do?,Catch dark wizards.,['Cat']
What is the name of the magical map that shows the entire layout of Hogwarts?,Marauder's Map,['Hogwarts']
Which clause in the Code of Wand Use prohibits non-humans from using wands?,Clause Three,[]
Which of the following reptile's blood is used for Wiggenweld Potion?,Salamander,[]
Who is the Charms professor?,Professor Flitwick,[]
Which trait did Helga Hufflepuff value the most?,Loyalty,['Hufflepuff']
The Vermillious charm produces what colour sparks?,Red,[]
Where is the best place to buy flesh-eating slug repellent?,Diagon Alley,"['All', 'Diagon Alley', 'Diagon Alley']"
Who is the conductor of the Frog Choir?,Filius Flitwick,['Filius Flitwick']
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
Porlocks guard herds of what non-magical creatures?,Horses,['Horse']
What is the primary use of the charm Scourgify?,Cleaning,[]
What's the most unfun job at Hogwarts?,Caretaker,['Hogwarts']
What is the primary use of Murtlap essence?,Soothing wounds,[]
Which species commandeered the Giant Wars?,Giants,['Giant']
What plant helps you breathe underwater?,Gillyweed,[]
Who previously held Snape's post?,Horace Slughorn,"['Horace Slughorn', 'Horace Slughorn']"
Which sub-branch of Transfiguration is considered to be the most difficult?,Human Transfiguration,"['Human', 'Human']"
Who's the best person to tease?,Argus Filch,['Argus Filch']
What creature was the Golden Snitch invented to replace?,Golden Snidget,[]
Who was the first witch or wizard to hatch a basilisk?,Herpo the Foul,[]
"What kind of creature is Newt's companion, Pickett?",Bowtruckle,[]
How old are students when they first attend Hogwarts?,11-years-old,['Hogwarts']
What is the incantation for the Shield Charm?,Protego,"['Protego', 'Shield Charm']"
Where did Emeric the Evil spend most of his life?,England,[]
Which Quidditch team only has female players?,Holyhead Harpies,['Quidditch']
What magical creature runs guards wand wood trees?,Bowtruckles,[]
Where could you buy broomsticks?,Quality Quidditch Supplies,['Quidditch']
The Pack Charm is what type of charm?,Household Charm,[]
Which incantation can levitate an object?,Wingardium Leviosa,['Wingardium Leviosa']
Who killed Sirius Black?,Bellatrix Lestrange,"['Sirius Black', 'Bellatrix Lestrange', 'Sirius Black']"
How many points is a goal worth?,Ten,[]
Where is the British and Irish Quidditch League Headquarters located?,The Ministry of Magic,"['Ministry of Magic', 'Quidditch', 'The Ministry of Magic']"
Where did Dumbledore and Grindelwald make the Blood Pact?,Barn,[]
Which team is in last place?,Chudley Cannons,[]
Which is not a form of dance?,Staccato,[]
What does the Draught Charm cause?,Dryness,[]
Which of the following is NOT another name for Belladonna?,Flitterbloom,[]
What replaced the Wizards' Council?,The Ministry of Magic.,"['Wizard', 'Ministry of Magic', 'The Ministry of Magic']"
Which skill is most useful for surfing loops?,Balance.,[]
What potion is used to rid yourself of Doxies?,Doxycide,[]
What makes magical photographs move?,Developing solution,[]
Who was the Journalist at The Daily Prophet in the Harry Potter series?,Rita Skeeter,"['Harry Potter', 'Rita Skeeter', 'Rita Skeeter']"
What magical sport is popular in North America?,Quodpot,[]
Who was Harry Potter's godfather?,Sirius Black,"['Harry Potter', 'Sirius Black', 'Sirius Black']"
Which of these is not a species of dragon?,Finnish Flamethrower,[]
What makes a transformation easier?,Similarity in appearance,[]
What spell unmasked Gellert Grindelwald in 1926?,Revelio,"['Gellert Grindelwald', 'Revelio']"
Which team is in last place?,Chudley Cannons,[]
I bet you don't know how many wizards serve on the Wizengamot!,50,[]
"Who is NOT in Gryffindor: Harry Potter, Ron Weasley, Draco Malfoy, or Ginny Weasley?",Draco Malfoy,"['Harry Potter', 'Ron Weasley', 'Draco Malfoy', 'Ginny Weasley', 'Gryffindor']"
What was the name of the person who was the original owner of the Elder Wand?,Antioch Peverell,['Elder']
Can Ascendio be used underwater?,"Yes, it can",[]
"When Neville Longbottom dresses his Boggart (Professor Snape) up in his grandmother’s clothes, what stuffed bird is on top of the hat?",A vulture,['Neville Longbottom']
What is the name of Filch's cat?,Mrs. Norris,[]
What children's book contains the story of the Deathly Hallows?,The Tales of Beedle the Bard,[]
"In Book 7, what three Ministry of Magic employees do Ron, Harry, and Hermione impersonate?","Mafalda Hopkirk, Reginald Cattermole, and Albert Runcorn.","['Cat', 'Ministry of Magic']"
Who is Harry's first crush?,Cho Chang,['Cho Chang']
"Dittany, mixed with this ingredient, can cure a Werewolf bite.",Powdered Silver,['Werewolf']
Who left the lightning-shaped scar on Harry Potter's forehead?,Voldemort,"['Harry Potter', 'Voldemort']"
Did the werewolf code of conduct work?,No,[]
What happens when you touch a Wiggentree?,Protection from Dark Creatures,[]
How many students sleep in each dormitory?,5,[]
Bowtruckles are especially fond of what tree?,Wiggentrees,[]
Which plant's pus clears up acne?,Bubotuber,[]
What is Salazar Slytherin's signature item?,Locket,['Slytherin']
Who teaches Potions class this year?,Professor Horace Slughorn,"['Horace Slughorn', 'Horace Slughorn']"
This real-life library served as the restricted section of the Hogwarts library in the film version. Which is it?,The Bodleian Library at Oxford University,"['Library', 'Hogwarts']"
Acromantula is the name for a giant version of what creature?,Spider,['Acromantula']
What is the incantation of the scrubbing spell?,Scourgify,[]
"In the Chamber of Secrets, the tears of the Phoenix cured the Poison of what creature?",Basilisk,"['Basilisk', 'Phoenix', 'Chamber of Secrets', 'Chamber of Secrets']"
"In Book 4, what magical creature does Harry answer a riddle from in the maze during the Triwizard Tournament?",A sphinx.,[]
How was Hermione able to take extra lessons?,She used a time-turner,[]
Which Quidditch players score goals?,The Chasers,['Quidditch']
What is the name of the Weasley family home?,The Burrow,"['The Burrow', 'The Burrow']"
Which of these is needed for successful broom casting?,Balance,[]
How do fairies communicate?,By buzzing.,[]
What magical sport is popular in North America?,Quodpot,[]
What school-aged peer is Harry's nemesis throughout his time at Hogwarts?,Draco Malfoy.,"['Draco Malfoy', 'Hogwarts']"
What ingredient from the Potions Storeroom did Snape ask you to retrieve in order to restore House Points?,Pickled Slugs,[]
What does the spell Accio do?,Summons objects,['Accio']
"Before Dumbledore, who was the Headmaster of Hogwarts?",Armando Dippet,['Hogwarts']
"When Harry was learning the Patronus Charm, what happy memory did he initially use?",The first time he rode a broom,['Patronus Charm']
No spell yet devised allows a wizard to what?,Fly unaided,[]
"In Harry Potter and the Prisoner of Azkaban, whose portrait replaces the Fat Lady after she is attacked?",Sir Cadogan,"['Harry Potter', 'Harry Potter and the Prisoner of Azkaban']"
Which elective is occasionally offered at Hogwarts?,Alchemy,['Hogwarts']
What is Harry's middle name?,James,[]
"On the wall across from the Room of Requirement, there is a tapestry showing a wizard trying to teach trolls ballet. What's his name?",Barnabus the Barmy.,['Room of Requirement']
What is the name of the Hogwarts poltergeist?,Peeves,['Hogwarts']
What did Professor Snape tell Harry could Detoxify people from most kinds of poisons?,Bezoar,[]
"If I wanted to use an Ageing Potion to make myself significantly older, what would I do?",Drink a Bigger Quantity,[]
Which plant produces stinking sap?,Mimbulus Mimbletonia,[]
Where is the entrance to St. Mungos located?,Muggle London,[]
What is the counter-charm to Colloportus?,Alohomora,"['Alohomora', 'Colloportus']"
What incantation marks the air with a burning trail?,Flagrate,[]
Bowling dates to what ancient civilization?,Ancient Egypt,[]
What magazine does Xenophilius Lovegood publish?,The Quibbler,['Xenophilius Lovegood']
Why do Ron Weasley and Hermione Granger stop speaking?,"Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers.","['Ron Weasley', 'Hermione Granger']"
A Nimbus is a type of what?,Broom,[]
When was the Werewolf Code of Conduct developed?,1637,['Werewolf']
What lives in the Forbidden Forest?,Intelligent wolves,['Forbidden Forest']
At what age do children receive their Hogwarts letter?,11,['Hogwarts']
No spell yet devised allows a wizard to what?,Fly unaided,[]
Who founded St Mungo's Hospital?,Mungo Bonham,[]
Which of these is not a type of broom?,Phoenix,['Phoenix']
What does Harry do with his winnings from the Triwizard Tournament?,Gives it to the Weasley Twins,[]
What do Uncle Vernon and Aunt Petunia give Harry for Christmas?,A 50-pence piece,[]
What is the name of the place where students buy their school supplies?,Diagon Alley,"['All', 'Diagon Alley', 'Diagon Alley']"
Who created the International Statute of Wizarding Secrecy?,International Confederation of Wizards,['Wizard']
Who is Dobby's original owner?,Lucius Malfoy,"['Lucius Malfoy', 'Dobby']"
"What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix?",Rapier.,"['Fred Weasley', 'Phoenix']"
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,[]
"When Hermione Granger is found Petrified, she is not alone. Who is with her?",Penelope Clearwater,"['Hermione Granger', 'Petrified']"
Which of the following creatures eat Fairy Eggs?,Bowtruckles,[]
Who is the Divination professor?,Professor Trelawney,[]
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,[]
Which member of the Council became the first Minister of Magic?,Ulick Gamp,[]
What does Cave Inimicum do?,Conceals presences,[]
What is the use of a draught of peace?,Calming the drinker,[]
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,[]
Which insect is Ron afraid of?,Spiders,[]
"Which of these spells is most similar to Flipendo, the Knockback Jinx?",Depulso,[]
Which condition could be remedied by a Calming Draught?,Shock,[]
What is Godric Gryffindor's signature item?,Sword,['Gryffindor']
What does Colovaria do?,Change Something's Colour,[]
Who wrote Fantastic Beasts and Where to Find Them?,Newt Scamander,[]
No spell yet devised allows a wizard to what?,Fly unaided,[]
When does Quidditch season begin?,A September,['Quidditch']
How many possible Quidditch fouls are there?,700,['Quidditch']
What office does Arthur Weasley work for in the Ministry of Magic?,The Misuse of Muggle Artefacts Office,"['Arthur Weasley', 'Ministry of Magic']"
Where was the first meeting of Dumbledore's Army?,Hog's Head Inn,"[""Dumbledore's Army""]"
What do Flobberworms eat?,Lettuce,[]
What is Snape's birthday?,"Jan. 9, 1960",[]
How is Quodpot different from Quidditch?,The ball explodes,['Quidditch']
Which spell is one of the Unforgivable Curses?,Crucio,['Crucio']
Who is the Half-Blood Prince?,Severus Snape,['Severus Snape']
Which Quidditch players score goals?,The Chasers,['Quidditch']
What is at the base of the Whomping Willow?,A tunnel that leads to the Shrieking Shack.,"['Whomping Willow', 'Willow', 'Shrieking Shack', 'Whomping Willow', 'Whomping Willow']"
A Firebolt is a type of what?,Broom,['Fir']
What is the name of the spell used to conjure the Patronus Charm?,Expecto Patronum,"['Expecto Patronum', 'Patronus Charm']"
Why would you need to switch brooms midair?,Broom failure,[]
How old is Professor Snape?,About 30,[]
"In the book, where do Hermione Granger’s parents move to?",Australia,['Hermione Granger']
Who is the Headmaster of Hogwarts when Harry arrives?,Albus Dumbledore.,"['Albus Dumbledore', 'Hogwarts']"
What makes the Manticore's tail so dangerous?,Its deadly sting,['Man']
Harry uses Parseltongue to speak to which creatures?,Snake,['Snake']
Who guards the entrance to the Gryffindor common room?,The Fat Lady,"['The Fat Lady', 'Gryffindor']"
Which of the following Charms did we learn in the first year?,Knockback Jinx,[]
Which of these factors does not affect Transfiguration?,Hue,[]
Why shouldn't you drop Puffapod beans?,They'll bloom,[]
Which of the following is another dive commonly used by Seekers?,Spiral Dive,[]
What is Bubotuber pus used for?,Clearing up acne,[]
